GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
backend=count_ones(popcnt=false,avx2=false) arch=x86_64 semantic_accuracy=NOT_MEASURED
DATASET name=external orbs=509 bytes=65152 crc64=ccfad589f0612fd8
QUERIES count=200 crc64=26545b361ae80b79 schedule=ordinal_17_plus_trial_43_mod_count
SAMPLE dataset=external k=1 trial=1 query=0 mode=2 ns=9247
SAMPLE dataset=external k=1 trial=1 query=0 mode=3 ns=7905
SAMPLE dataset=external k=1 trial=1 query=0 mode=0 ns=7394
SAMPLE dataset=external k=1 trial=1 query=0 mode=1 ns=7333
SAMPLE dataset=external k=1 trial=1 query=1 mode=3 ns=7865
SAMPLE dataset=external k=1 trial=1 query=1 mode=0 ns=7254
SAMPLE dataset=external k=1 trial=1 query=1 mode=1 ns=13435
SAMPLE dataset=external k=1 trial=1 query=1 mode=2 ns=9147
SAMPLE dataset=external k=1 trial=1 query=2 mode=0 ns=7274
SAMPLE dataset=external k=1 trial=1 query=2 mode=1 ns=7264
SAMPLE dataset=external k=1 trial=1 query=2 mode=2 ns=9117
SAMPLE dataset=external k=1 trial=1 query=2 mode=3 ns=7845
SAMPLE dataset=external k=1 trial=1 query=3 mode=1 ns=7264
SAMPLE dataset=external k=1 trial=1 query=3 mode=2 ns=9167
SAMPLE dataset=external k=1 trial=1 query=3 mode=3 ns=7845
SAMPLE dataset=external k=1 trial=1 query=3 mode=0 ns=7243
SAMPLE dataset=external k=1 trial=1 query=4 mode=2 ns=9198
SAMPLE dataset=external k=1 trial=1 query=4 mode=3 ns=7875
SAMPLE dataset=external k=1 trial=1 query=4 mode=0 ns=7284
SAMPLE dataset=external k=1 trial=1 query=4 mode=1 ns=7294
SAMPLE dataset=external k=1 trial=1 query=5 mode=3 ns=7624
SAMPLE dataset=external k=1 trial=1 query=5 mode=0 ns=7104
SAMPLE dataset=external k=1 trial=1 query=5 mode=1 ns=7124
SAMPLE dataset=external k=1 trial=1 query=5 mode=2 ns=8987
SAMPLE dataset=external k=1 trial=1 query=6 mode=0 ns=7113
SAMPLE dataset=external k=1 trial=1 query=6 mode=1 ns=7084
SAMPLE dataset=external k=1 trial=1 query=6 mode=2 ns=8957
SAMPLE dataset=external k=1 trial=1 query=6 mode=3 ns=7665
SAMPLE dataset=external k=1 trial=1 query=7 mode=1 ns=7283
SAMPLE dataset=external k=1 trial=1 query=7 mode=2 ns=9198
SAMPLE dataset=external k=1 trial=1 query=7 mode=3 ns=7885
SAMPLE dataset=external k=1 trial=1 query=7 mode=0 ns=7334
SAMPLE dataset=external k=1 trial=1 query=8 mode=2 ns=9188
SAMPLE dataset=external k=1 trial=1 query=8 mode=3 ns=7825
SAMPLE dataset=external k=1 trial=1 query=8 mode=0 ns=7303
SAMPLE dataset=external k=1 trial=1 query=8 mode=1 ns=7243
SAMPLE dataset=external k=1 trial=1 query=9 mode=3 ns=7785
SAMPLE dataset=external k=1 trial=1 query=9 mode=0 ns=7254
SAMPLE dataset=external k=1 trial=1 query=9 mode=1 ns=7353
SAMPLE dataset=external k=1 trial=1 query=9 mode=2 ns=9087
SAMPLE dataset=external k=1 trial=1 query=10 mode=0 ns=7284
SAMPLE dataset=external k=1 trial=1 query=10 mode=1 ns=7344
SAMPLE dataset=external k=1 trial=1 query=10 mode=2 ns=11061
SAMPLE dataset=external k=1 trial=1 query=10 mode=3 ns=10360
RESULT dataset=external k=1 trial=1 samples=11 old_full_ns=7274 new_full_ns=7283 old_progressive_ns=9167 new_progressive_ns=7845 full_speedup=0.998764 progressive_speedup=1.168515 exact=52/52 stages=PASS
SAMPLE dataset=external k=1 trial=2 query=0 mode=3 ns=7824
SAMPLE dataset=external k=1 trial=2 query=0 mode=0 ns=7264
SAMPLE dataset=external k=1 trial=2 query=0 mode=1 ns=7224
SAMPLE dataset=external k=1 trial=2 query=0 mode=2 ns=9167
SAMPLE dataset=external k=1 trial=2 query=1 mode=0 ns=7173
SAMPLE dataset=external k=1 trial=2 query=1 mode=1 ns=7174
SAMPLE dataset=external k=1 trial=2 query=1 mode=2 ns=9087
SAMPLE dataset=external k=1 trial=2 query=1 mode=3 ns=7744
SAMPLE dataset=external k=1 trial=2 query=2 mode=1 ns=7183
SAMPLE dataset=external k=1 trial=2 query=2 mode=2 ns=9137
SAMPLE dataset=external k=1 trial=2 query=2 mode=3 ns=7765
SAMPLE dataset=external k=1 trial=2 query=2 mode=0 ns=7263
SAMPLE dataset=external k=1 trial=2 query=3 mode=2 ns=9077
SAMPLE dataset=external k=1 trial=2 query=3 mode=3 ns=7805
SAMPLE dataset=external k=1 trial=2 query=3 mode=0 ns=7233
SAMPLE dataset=external k=1 trial=2 query=3 mode=1 ns=7254
SAMPLE dataset=external k=1 trial=2 query=4 mode=3 ns=7925
SAMPLE dataset=external k=1 trial=2 query=4 mode=0 ns=7404
SAMPLE dataset=external k=1 trial=2 query=4 mode=1 ns=7304
SAMPLE dataset=external k=1 trial=2 query=4 mode=2 ns=9227
SAMPLE dataset=external k=1 trial=2 query=5 mode=0 ns=7354
SAMPLE dataset=external k=1 trial=2 query=5 mode=1 ns=7314
SAMPLE dataset=external k=1 trial=2 query=5 mode=2 ns=9217
SAMPLE dataset=external k=1 trial=2 query=5 mode=3 ns=7845
SAMPLE dataset=external k=1 trial=2 query=6 mode=1 ns=7213
SAMPLE dataset=external k=1 trial=2 query=6 mode=2 ns=9168
SAMPLE dataset=external k=1 trial=2 query=6 mode=3 ns=7755
SAMPLE dataset=external k=1 trial=2 query=6 mode=0 ns=7173
