GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
backend=count_ones(popcnt=true,avx2=true) arch=x86_64 semantic_accuracy=NOT_MEASURED
DATASET name=external orbs=509 bytes=65152 crc64=ccfad589f0612fd8
QUERIES count=200 crc64=26545b361ae80b79 schedule=ordinal_17_plus_trial_43_mod_count
SAMPLE dataset=external k=1 trial=1 query=0 mode=2 ns=2334
SAMPLE dataset=external k=1 trial=1 query=0 mode=3 ns=1913
SAMPLE dataset=external k=1 trial=1 query=0 mode=0 ns=2034
SAMPLE dataset=external k=1 trial=1 query=0 mode=1 ns=2224
SAMPLE dataset=external k=1 trial=1 query=1 mode=3 ns=2054
SAMPLE dataset=external k=1 trial=1 query=1 mode=0 ns=1733
SAMPLE dataset=external k=1 trial=1 query=1 mode=1 ns=2344
SAMPLE dataset=external k=1 trial=1 query=1 mode=2 ns=2495
SAMPLE dataset=external k=1 trial=1 query=2 mode=0 ns=2255
SAMPLE dataset=external k=1 trial=1 query=2 mode=1 ns=1713
SAMPLE dataset=external k=1 trial=1 query=2 mode=2 ns=3035
SAMPLE dataset=external k=1 trial=1 query=2 mode=3 ns=1923
SAMPLE dataset=external k=1 trial=1 query=3 mode=1 ns=1503
SAMPLE dataset=external k=1 trial=1 query=3 mode=2 ns=2555
SAMPLE dataset=external k=1 trial=1 query=3 mode=3 ns=3016
SAMPLE dataset=external k=1 trial=1 query=3 mode=0 ns=2214
SAMPLE dataset=external k=1 trial=1 query=4 mode=2 ns=2655
SAMPLE dataset=external k=1 trial=1 query=4 mode=3 ns=2765
SAMPLE dataset=external k=1 trial=1 query=4 mode=0 ns=2325
SAMPLE dataset=external k=1 trial=1 query=4 mode=1 ns=2324
SAMPLE dataset=external k=1 trial=1 query=5 mode=3 ns=2315
SAMPLE dataset=external k=1 trial=1 query=5 mode=0 ns=2194
SAMPLE dataset=external k=1 trial=1 query=5 mode=1 ns=2194
SAMPLE dataset=external k=1 trial=1 query=5 mode=2 ns=3186
SAMPLE dataset=external k=1 trial=1 query=6 mode=0 ns=1813
SAMPLE dataset=external k=1 trial=1 query=6 mode=1 ns=2074
SAMPLE dataset=external k=1 trial=1 query=6 mode=2 ns=3216
SAMPLE dataset=external k=1 trial=1 query=6 mode=3 ns=2635
SAMPLE dataset=external k=1 trial=1 query=7 mode=1 ns=1693
SAMPLE dataset=external k=1 trial=1 query=7 mode=2 ns=3106
SAMPLE dataset=external k=1 trial=1 query=7 mode=3 ns=2836
SAMPLE dataset=external k=1 trial=1 query=7 mode=0 ns=2264
SAMPLE dataset=external k=1 trial=1 query=8 mode=2 ns=2505
SAMPLE dataset=external k=1 trial=1 query=8 mode=3 ns=2745
SAMPLE dataset=external k=1 trial=1 query=8 mode=0 ns=2425
