GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
backend=count_ones(popcnt=false,avx2=false) arch=x86_64 semantic_accuracy=NOT_MEASURED
DATASET name=uniform orbs=131072 bytes=16777216 crc64=5d462f3b0091b439
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=2 ns=1418139
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=3 ns=1200980
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=0 ns=1119347
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=1 ns=1312169
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=3 ns=1332958
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=0 ns=1551610
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=1 ns=1160714
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=2 ns=1411346
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=0 ns=1625339
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=1 ns=1457623
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=2 ns=932505
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=3 ns=1026813
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=1 ns=1117213
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=2 ns=1431294
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=3 ns=1211820
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=0 ns=1110099
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=2 ns=712301
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=3 ns=644112
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=0 ns=1112454
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=1 ns=1106242
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=3 ns=979192
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=0 ns=1121079
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=1 ns=1140816
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=2 ns=1103487
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=0 ns=1104098
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=1 ns=1112013
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=2 ns=1437505
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=3 ns=1231477
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=1 ns=1108346
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=2 ns=1123895
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=3 ns=956821
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=0 ns=1112504
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=2 ns=986226
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=3 ns=830693
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=0 ns=1112143
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=1 ns=1107805
SAMPLE dataset=uniform k=1 trial=1 query=9 mode=3 ns=1198966
SAMPLE dataset=uniform k=1 trial=1 query=9 mode=0 ns=1296450
