GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
backend=count_ones(popcnt=false,avx2=false) arch=x86_64 semantic_accuracy=NOT_MEASURED
DATASET name=external orbs=628 bytes=80384 crc64=ba6f576ef2d0ee32
QUERIES count=200 crc64=36a44474ca872a5f schedule=ordinal_17_plus_trial_43_mod_count
SAMPLE dataset=external k=1 trial=1 query=0 mode=2 ns=11171
SAMPLE dataset=external k=1 trial=1 query=0 mode=3 ns=10580
SAMPLE dataset=external k=1 trial=1 query=0 mode=0 ns=9759
SAMPLE dataset=external k=1 trial=1 query=0 mode=1 ns=9177
SAMPLE dataset=external k=1 trial=1 query=1 mode=3 ns=9538
SAMPLE dataset=external k=1 trial=1 query=1 mode=0 ns=9828
SAMPLE dataset=external k=1 trial=1 query=1 mode=1 ns=9137
SAMPLE dataset=external k=1 trial=1 query=1 mode=2 ns=11862
SAMPLE dataset=external k=1 trial=1 query=2 mode=0 ns=8857
SAMPLE dataset=external k=1 trial=1 query=2 mode=1 ns=9688
SAMPLE dataset=external k=1 trial=1 query=2 mode=2 ns=11872
SAMPLE dataset=external k=1 trial=1 query=2 mode=3 ns=10450
SAMPLE dataset=external k=1 trial=1 query=3 mode=1 ns=9057
SAMPLE dataset=external k=1 trial=1 query=3 mode=2 ns=12303
SAMPLE dataset=external k=1 trial=1 query=3 mode=3 ns=10840
SAMPLE dataset=external k=1 trial=1 query=3 mode=0 ns=10199
SAMPLE dataset=external k=1 trial=1 query=4 mode=2 ns=11251
SAMPLE dataset=external k=1 trial=1 query=4 mode=3 ns=10610
SAMPLE dataset=external k=1 trial=1 query=4 mode=0 ns=9898
SAMPLE dataset=external k=1 trial=1 query=4 mode=1 ns=9779
SAMPLE dataset=external k=1 trial=1 query=5 mode=3 ns=9578
SAMPLE dataset=external k=1 trial=1 query=5 mode=0 ns=9908
SAMPLE dataset=external k=1 trial=1 query=5 mode=1 ns=10651
SAMPLE dataset=external k=1 trial=1 query=5 mode=2 ns=13736
SAMPLE dataset=external k=1 trial=1 query=6 mode=0 ns=8907
SAMPLE dataset=external k=1 trial=1 query=6 mode=1 ns=9909
SAMPLE dataset=external k=1 trial=1 query=6 mode=2 ns=11973
SAMPLE dataset=external k=1 trial=1 query=6 mode=3 ns=10480
SAMPLE dataset=external k=1 trial=1 query=7 mode=1 ns=8846
SAMPLE dataset=external k=1 trial=1 query=7 mode=2 ns=11983
SAMPLE dataset=external k=1 trial=1 query=7 mode=3 ns=10449
SAMPLE dataset=external k=1 trial=1 query=7 mode=0 ns=9839
SAMPLE dataset=external k=1 trial=1 query=8 mode=2 ns=11101
SAMPLE dataset=external k=1 trial=1 query=8 mode=3 ns=10540
SAMPLE dataset=external k=1 trial=1 query=8 mode=0 ns=9868
SAMPLE dataset=external k=1 trial=1 query=8 mode=1 ns=9638
SAMPLE dataset=external k=1 trial=1 query=9 mode=3 ns=9458
SAMPLE dataset=external k=1 trial=1 query=9 mode=0 ns=9848
SAMPLE dataset=external k=1 trial=1 query=9 mode=1 ns=9708
SAMPLE dataset=external k=1 trial=1 query=9 mode=2 ns=12103
SAMPLE dataset=external k=1 trial=1 query=10 mode=0 ns=8677
SAMPLE dataset=external k=1 trial=1 query=10 mode=1 ns=9508
SAMPLE dataset=external k=1 trial=1 query=10 mode=2 ns=11782
SAMPLE dataset=external k=1 trial=1 query=10 mode=3 ns=10460
RESULT dataset=external k=1 trial=1 samples=11 old_full_ns=9839 new_full_ns=9638 old_progressive_ns=11872 new_progressive_ns=10460 full_speedup=1.020855 progressive_speedup=1.134990 exact=52/52 stages=PASS
SAMPLE dataset=external k=1 trial=2 query=0 mode=3 ns=9678
SAMPLE dataset=external k=1 trial=2 query=0 mode=0 ns=10129
SAMPLE dataset=external k=1 trial=2 query=0 mode=1 ns=9909
SAMPLE dataset=external k=1 trial=2 query=0 mode=2 ns=12103
SAMPLE dataset=external k=1 trial=2 query=1 mode=0 ns=8666
SAMPLE dataset=external k=1 trial=2 query=1 mode=1 ns=9548
SAMPLE dataset=external k=1 trial=2 query=1 mode=2 ns=11742
SAMPLE dataset=external k=1 trial=2 query=1 mode=3 ns=10290
SAMPLE dataset=external k=1 trial=2 query=2 mode=1 ns=8766
SAMPLE dataset=external k=1 trial=2 query=2 mode=2 ns=11923
SAMPLE dataset=external k=1 trial=2 query=2 mode=3 ns=10409
SAMPLE dataset=external k=1 trial=2 query=2 mode=0 ns=9748
SAMPLE dataset=external k=1 trial=2 query=3 mode=2 ns=11141
SAMPLE dataset=external k=1 trial=2 query=3 mode=3 ns=10460
SAMPLE dataset=external k=1 trial=2 query=3 mode=0 ns=9699
SAMPLE dataset=external k=1 trial=2 query=3 mode=1 ns=9688
SAMPLE dataset=external k=1 trial=2 query=4 mode=3 ns=9428
SAMPLE dataset=external k=1 trial=2 query=4 mode=0 ns=9999
SAMPLE dataset=external k=1 trial=2 query=4 mode=1 ns=9789
SAMPLE dataset=external k=1 trial=2 query=4 mode=2 ns=11912
SAMPLE dataset=external k=1 trial=2 query=5 mode=0 ns=8777
SAMPLE dataset=external k=1 trial=2 query=5 mode=1 ns=9748
SAMPLE dataset=external k=1 trial=2 query=5 mode=2 ns=11942
SAMPLE dataset=external k=1 trial=2 query=5 mode=3 ns=10510
SAMPLE dataset=external k=1 trial=2 query=6 mode=1 ns=8947
SAMPLE dataset=external k=1 trial=2 query=6 mode=2 ns=12093
SAMPLE dataset=external k=1 trial=2 query=6 mode=3 ns=10490
SAMPLE dataset=external k=1 trial=2 query=6 mode=0 ns=10029
SAMPLE dataset=external k=1 trial=2 query=7 mode=2 ns=11201
SAMPLE dataset=external k=1 trial=2 query=7 mode=3 ns=10490
SAMPLE dataset=external k=1 trial=2 query=7 mode=0 ns=9849
SAMPLE dataset=external k=1 trial=2 query=7 mode=1 ns=9819
SAMPLE dataset=external k=1 trial=2 query=8 mode=3 ns=9368
SAMPLE dataset=external k=1 trial=2 query=8 mode=0 ns=9758
SAMPLE dataset=external k=1 trial=2 query=8 mode=1 ns=16440
SAMPLE dataset=external k=1 trial=2 query=8 mode=2 ns=13195
SAMPLE dataset=external k=1 trial=2 query=9 mode=0 ns=8837
SAMPLE dataset=external k=1 trial=2 query=9 mode=1 ns=9768
SAMPLE dataset=external k=1 trial=2 query=9 mode=2 ns=11932
SAMPLE dataset=external k=1 trial=2 query=9 mode=3 ns=10430
SAMPLE dataset=external k=1 trial=2 query=10 mode=1 ns=8737
SAMPLE dataset=external k=1 trial=2 query=10 mode=2 ns=12022
SAMPLE dataset=external k=1 trial=2 query=10 mode=3 ns=10440
SAMPLE dataset=external k=1 trial=2 query=10 mode=0 ns=9778
RESULT dataset=external k=1 trial=2 samples=11 old_full_ns=9758 new_full_ns=9748 old_progressive_ns=11932 new_progressive_ns=10430 full_speedup=1.001026 progressive_speedup=1.144008 exact=52/52 stages=PASS
SAMPLE dataset=external k=1 trial=3 query=0 mode=0 ns=8727
SAMPLE dataset=external k=1 trial=3 query=0 mode=1 ns=9668
SAMPLE dataset=external k=1 trial=3 query=0 mode=2 ns=12173
SAMPLE dataset=external k=1 trial=3 query=0 mode=3 ns=10490
SAMPLE dataset=external k=1 trial=3 query=1 mode=1 ns=8927
SAMPLE dataset=external k=1 trial=3 query=1 mode=2 ns=11942
SAMPLE dataset=external k=1 trial=3 query=1 mode=3 ns=10530
SAMPLE dataset=external k=1 trial=3 query=1 mode=0 ns=10059
SAMPLE dataset=external k=1 trial=3 query=2 mode=2 ns=11321
SAMPLE dataset=external k=1 trial=3 query=2 mode=3 ns=10430
SAMPLE dataset=external k=1 trial=3 query=2 mode=0 ns=9938
SAMPLE dataset=external k=1 trial=3 query=2 mode=1 ns=9809
SAMPLE dataset=external k=1 trial=3 query=3 mode=3 ns=9578
SAMPLE dataset=external k=1 trial=3 query=3 mode=0 ns=9939
SAMPLE dataset=external k=1 trial=3 query=3 mode=1 ns=9718
SAMPLE dataset=external k=1 trial=3 query=3 mode=2 ns=12043
SAMPLE dataset=external k=1 trial=3 query=4 mode=0 ns=8776
SAMPLE dataset=external k=1 trial=3 query=4 mode=1 ns=9728
SAMPLE dataset=external k=1 trial=3 query=4 mode=2 ns=11962
SAMPLE dataset=external k=1 trial=3 query=4 mode=3 ns=10399
SAMPLE dataset=external k=1 trial=3 query=5 mode=1 ns=8746
SAMPLE dataset=external k=1 trial=3 query=5 mode=2 ns=11893
SAMPLE dataset=external k=1 trial=3 query=5 mode=3 ns=10299
SAMPLE dataset=external k=1 trial=3 query=5 mode=0 ns=9598
SAMPLE dataset=external k=1 trial=3 query=6 mode=2 ns=11070
SAMPLE dataset=external k=1 trial=3 query=6 mode=3 ns=10270
SAMPLE dataset=external k=1 trial=3 query=6 mode=0 ns=9878
SAMPLE dataset=external k=1 trial=3 query=6 mode=1 ns=9718
SAMPLE dataset=external k=1 trial=3 query=7 mode=3 ns=9298
SAMPLE dataset=external k=1 trial=3 query=7 mode=0 ns=9688
SAMPLE dataset=external k=1 trial=3 query=7 mode=1 ns=9598
SAMPLE dataset=external k=1 trial=3 query=7 mode=2 ns=11812
SAMPLE dataset=external k=1 trial=3 query=8 mode=0 ns=8937
SAMPLE dataset=external k=1 trial=3 query=8 mode=1 ns=9739
SAMPLE dataset=external k=1 trial=3 query=8 mode=2 ns=11281
SAMPLE dataset=external k=1 trial=3 query=8 mode=3 ns=9618
SAMPLE dataset=external k=1 trial=3 query=9 mode=1 ns=8826
SAMPLE dataset=external k=1 trial=3 query=9 mode=2 ns=11352
SAMPLE dataset=external k=1 trial=3 query=9 mode=3 ns=9668
SAMPLE dataset=external k=1 trial=3 query=9 mode=0 ns=8987
SAMPLE dataset=external k=1 trial=3 query=10 mode=2 ns=10951
SAMPLE dataset=external k=1 trial=3 query=10 mode=3 ns=9407
SAMPLE dataset=external k=1 trial=3 query=10 mode=0 ns=8777
SAMPLE dataset=external k=1 trial=3 query=10 mode=1 ns=8726
RESULT dataset=external k=1 trial=3 samples=11 old_full_ns=9598 new_full_ns=9668 old_progressive_ns=11812 new_progressive_ns=10270 full_speedup=0.992760 progressive_speedup=1.150146 exact=52/52 stages=PASS
SAMPLE dataset=external k=8 trial=1 query=0 mode=2 ns=13916
SAMPLE dataset=external k=8 trial=1 query=0 mode=3 ns=12022
SAMPLE dataset=external k=8 trial=1 query=0 mode=0 ns=12734
SAMPLE dataset=external k=8 trial=1 query=0 mode=1 ns=11312
SAMPLE dataset=external k=8 trial=1 query=1 mode=3 ns=12324
SAMPLE dataset=external k=8 trial=1 query=1 mode=0 ns=13375
SAMPLE dataset=external k=8 trial=1 query=1 mode=1 ns=11782
SAMPLE dataset=external k=8 trial=1 query=1 mode=2 ns=14467
SAMPLE dataset=external k=8 trial=1 query=2 mode=0 ns=12554
SAMPLE dataset=external k=8 trial=1 query=2 mode=1 ns=10890
SAMPLE dataset=external k=8 trial=1 query=2 mode=2 ns=14047
SAMPLE dataset=external k=8 trial=1 query=2 mode=3 ns=11401
SAMPLE dataset=external k=8 trial=1 query=3 mode=1 ns=11411
SAMPLE dataset=external k=8 trial=1 query=3 mode=2 ns=14407
SAMPLE dataset=external k=8 trial=1 query=3 mode=3 ns=11983
SAMPLE dataset=external k=8 trial=1 query=3 mode=0 ns=13034
SAMPLE dataset=external k=8 trial=1 query=4 mode=2 ns=13976
SAMPLE dataset=external k=8 trial=1 query=4 mode=3 ns=11521
SAMPLE dataset=external k=8 trial=1 query=4 mode=0 ns=12674
SAMPLE dataset=external k=8 trial=1 query=4 mode=1 ns=10950
SAMPLE dataset=external k=8 trial=1 query=5 mode=3 ns=12133
SAMPLE dataset=external k=8 trial=1 query=5 mode=0 ns=13014
SAMPLE dataset=external k=8 trial=1 query=5 mode=1 ns=11482
SAMPLE dataset=external k=8 trial=1 query=5 mode=2 ns=14467
