GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
backend=count_ones(popcnt=true,avx2=true) arch=x86_64 semantic_accuracy=NOT_MEASURED
DATASET name=external orbs=628 bytes=80384 crc64=ba6f576ef2d0ee32
QUERIES count=200 crc64=36a44474ca872a5f schedule=ordinal_17_plus_trial_43_mod_count
SAMPLE dataset=external k=1 trial=1 query=0 mode=2 ns=3196
SAMPLE dataset=external k=1 trial=1 query=0 mode=3 ns=3557
SAMPLE dataset=external k=1 trial=1 query=0 mode=0 ns=2815
SAMPLE dataset=external k=1 trial=1 query=0 mode=1 ns=3186
SAMPLE dataset=external k=1 trial=1 query=1 mode=3 ns=3988
SAMPLE dataset=external k=1 trial=1 query=1 mode=0 ns=2805
SAMPLE dataset=external k=1 trial=1 query=1 mode=1 ns=4078
SAMPLE dataset=external k=1 trial=1 query=1 mode=2 ns=6402
SAMPLE dataset=external k=1 trial=1 query=2 mode=0 ns=4248
SAMPLE dataset=external k=1 trial=1 query=2 mode=1 ns=2725
SAMPLE dataset=external k=1 trial=1 query=2 mode=2 ns=5841
SAMPLE dataset=external k=1 trial=1 query=2 mode=3 ns=3176
SAMPLE dataset=external k=1 trial=1 query=3 mode=1 ns=3056
SAMPLE dataset=external k=1 trial=1 query=3 mode=2 ns=4087
SAMPLE dataset=external k=1 trial=1 query=3 mode=3 ns=5871
SAMPLE dataset=external k=1 trial=1 query=3 mode=0 ns=4108
SAMPLE dataset=external k=1 trial=1 query=4 mode=2 ns=5390
SAMPLE dataset=external k=1 trial=1 query=4 mode=3 ns=5811
SAMPLE dataset=external k=1 trial=1 query=4 mode=0 ns=5090
SAMPLE dataset=external k=1 trial=1 query=4 mode=1 ns=3997
SAMPLE dataset=external k=1 trial=1 query=5 mode=3 ns=4067
SAMPLE dataset=external k=1 trial=1 query=5 mode=0 ns=3867
SAMPLE dataset=external k=1 trial=1 query=5 mode=1 ns=3507
SAMPLE dataset=external k=1 trial=1 query=5 mode=2 ns=6212
SAMPLE dataset=external k=1 trial=1 query=6 mode=0 ns=3647
SAMPLE dataset=external k=1 trial=1 query=6 mode=1 ns=2866
SAMPLE dataset=external k=1 trial=1 query=6 mode=2 ns=6042
SAMPLE dataset=external k=1 trial=1 query=6 mode=3 ns=4388
SAMPLE dataset=external k=1 trial=1 query=7 mode=1 ns=3166
SAMPLE dataset=external k=1 trial=1 query=7 mode=2 ns=9318
SAMPLE dataset=external k=1 trial=1 query=7 mode=3 ns=5650
SAMPLE dataset=external k=1 trial=1 query=7 mode=0 ns=4137
SAMPLE dataset=external k=1 trial=1 query=8 mode=2 ns=5630
