GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
backend=count_ones(popcnt=true,avx2=true) arch=x86_64 semantic_accuracy=NOT_MEASURED
DATASET name=uniform orbs=131072 bytes=16777216 crc64=5d462f3b0091b439
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=2 ns=520710
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=3 ns=501434
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=0 ns=438886
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=1 ns=385836
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=3 ns=386607
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=0 ns=395133
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=1 ns=365688
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=2 ns=456318
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=0 ns=383672
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=1 ns=369355
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=2 ns=405072
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=3 ns=363494
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=1 ns=370537
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=2 ns=530709
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=3 ns=454596
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=0 ns=480023
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=2 ns=606922
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=3 ns=555134
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=0 ns=403539
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=1 ns=372872
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=3 ns=507866
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=0 ns=454836
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=1 ns=368052
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=2 ns=507214
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=0 ns=376108
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=1 ns=359888
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=2 ns=516773
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=3 ns=459094
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=1 ns=348305
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=2 ns=445028
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=3 ns=415201
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=0 ns=377460
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=2 ns=411845
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=3 ns=590892
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=0 ns=532462
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=1 ns=403690
