GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
backend=count_ones(popcnt=false,avx2=false) arch=x86_64 semantic_accuracy=NOT_MEASURED
DATASET name=external orbs=509 bytes=65152 crc64=ccfad589f0612fd8
SAMPLE dataset=external k=1 trial=1 query=0 mode=2 ns=5731
SAMPLE dataset=external k=1 trial=1 query=0 mode=3 ns=4999
SAMPLE dataset=external k=1 trial=1 query=0 mode=0 ns=4579
SAMPLE dataset=external k=1 trial=1 query=0 mode=1 ns=4579
SAMPLE dataset=external k=1 trial=1 query=1 mode=3 ns=2455
SAMPLE dataset=external k=1 trial=1 query=1 mode=0 ns=4729
SAMPLE dataset=external k=1 trial=1 query=1 mode=1 ns=5801
SAMPLE dataset=external k=1 trial=1 query=1 mode=2 ns=3556
SAMPLE dataset=external k=1 trial=1 query=2 mode=0 ns=6022
SAMPLE dataset=external k=1 trial=1 query=2 mode=1 ns=5711
SAMPLE dataset=external k=1 trial=1 query=2 mode=2 ns=2374
SAMPLE dataset=external k=1 trial=1 query=2 mode=3 ns=2254
SAMPLE dataset=external k=1 trial=1 query=3 mode=1 ns=4499
SAMPLE dataset=external k=1 trial=1 query=3 mode=2 ns=7774
SAMPLE dataset=external k=1 trial=1 query=3 mode=3 ns=6722
SAMPLE dataset=external k=1 trial=1 query=3 mode=0 ns=6172
SAMPLE dataset=external k=1 trial=1 query=4 mode=2 ns=3927
SAMPLE dataset=external k=1 trial=1 query=4 mode=3 ns=4338
SAMPLE dataset=external k=1 trial=1 query=4 mode=0 ns=6352
SAMPLE dataset=external k=1 trial=1 query=4 mode=1 ns=5761
SAMPLE dataset=external k=1 trial=1 query=5 mode=3 ns=2475
SAMPLE dataset=external k=1 trial=1 query=5 mode=0 ns=6292
SAMPLE dataset=external k=1 trial=1 query=5 mode=1 ns=5962
SAMPLE dataset=external k=1 trial=1 query=5 mode=2 ns=3597
SAMPLE dataset=external k=1 trial=1 query=6 mode=0 ns=4449
SAMPLE dataset=external k=1 trial=1 query=6 mode=1 ns=5761
SAMPLE dataset=external k=1 trial=1 query=6 mode=2 ns=7163
SAMPLE dataset=external k=1 trial=1 query=6 mode=3 ns=6412
SAMPLE dataset=external k=1 trial=1 query=7 mode=1 ns=4669
SAMPLE dataset=external k=1 trial=1 query=7 mode=2 ns=6583
SAMPLE dataset=external k=1 trial=1 query=7 mode=3 ns=5951
SAMPLE dataset=external k=1 trial=1 query=7 mode=0 ns=6221
SAMPLE dataset=external k=1 trial=1 query=8 mode=2 ns=3877
SAMPLE dataset=external k=1 trial=1 query=8 mode=3 ns=4338
SAMPLE dataset=external k=1 trial=1 query=8 mode=0 ns=6322
SAMPLE dataset=external k=1 trial=1 query=8 mode=1 ns=5250
SAMPLE dataset=external k=1 trial=1 query=9 mode=3 ns=4879
SAMPLE dataset=external k=1 trial=1 query=9 mode=0 ns=6231
SAMPLE dataset=external k=1 trial=1 query=9 mode=1 ns=5931
SAMPLE dataset=external k=1 trial=1 query=9 mode=2 ns=7234
SAMPLE dataset=external k=1 trial=1 query=10 mode=0 ns=4528
SAMPLE dataset=external k=1 trial=1 query=10 mode=1 ns=5941
SAMPLE dataset=external k=1 trial=1 query=10 mode=2 ns=2465
SAMPLE dataset=external k=1 trial=1 query=10 mode=3 ns=2444
RESULT dataset=external k=1 trial=1 samples=11 old_full_ns=6172 new_full_ns=5761 old_progressive_ns=3927 new_progressive_ns=4338 full_speedup=1.071342 progressive_speedup=0.905256 exact=52/52 stages=PASS
SAMPLE dataset=external k=1 trial=2 query=0 mode=3 ns=5000
SAMPLE dataset=external k=1 trial=2 query=0 mode=0 ns=5711
SAMPLE dataset=external k=1 trial=2 query=0 mode=1 ns=6021
SAMPLE dataset=external k=1 trial=2 query=0 mode=2 ns=7254
SAMPLE dataset=external k=1 trial=2 query=1 mode=0 ns=4419
SAMPLE dataset=external k=1 trial=2 query=1 mode=1 ns=5731
SAMPLE dataset=external k=1 trial=2 query=1 mode=2 ns=3136
SAMPLE dataset=external k=1 trial=2 query=1 mode=3 ns=3447
SAMPLE dataset=external k=1 trial=2 query=2 mode=1 ns=6142
SAMPLE dataset=external k=1 trial=2 query=2 mode=2 ns=1934
SAMPLE dataset=external k=1 trial=2 query=2 mode=3 ns=2204
SAMPLE dataset=external k=1 trial=2 query=2 mode=0 ns=6673
SAMPLE dataset=external k=1 trial=2 query=3 mode=2 ns=5710
SAMPLE dataset=external k=1 trial=2 query=3 mode=3 ns=6452
SAMPLE dataset=external k=1 trial=2 query=3 mode=0 ns=6122
SAMPLE dataset=external k=1 trial=2 query=3 mode=1 ns=5941
SAMPLE dataset=external k=1 trial=2 query=4 mode=3 ns=3436
SAMPLE dataset=external k=1 trial=2 query=4 mode=0 ns=6021
SAMPLE dataset=external k=1 trial=2 query=4 mode=1 ns=5821
SAMPLE dataset=external k=1 trial=2 query=4 mode=2 ns=5250
SAMPLE dataset=external k=1 trial=2 query=5 mode=0 ns=4499
SAMPLE dataset=external k=1 trial=2 query=5 mode=1 ns=5961
SAMPLE dataset=external k=1 trial=2 query=5 mode=2 ns=3857
SAMPLE dataset=external k=1 trial=2 query=5 mode=3 ns=3707
SAMPLE dataset=external k=1 trial=2 query=6 mode=1 ns=4458
SAMPLE dataset=external k=1 trial=2 query=6 mode=2 ns=7153
SAMPLE dataset=external k=1 trial=2 query=6 mode=3 ns=6372
SAMPLE dataset=external k=1 trial=2 query=6 mode=0 ns=6091
SAMPLE dataset=external k=1 trial=2 query=7 mode=2 ns=5059
