GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
backend=count_ones(popcnt=true,avx2=true) arch=x86_64 semantic_accuracy=NOT_MEASURED
DATASET name=external orbs=509 bytes=65152 crc64=ccfad589f0612fd8
SAMPLE dataset=external k=1 trial=1 query=0 mode=2 ns=3046
SAMPLE dataset=external k=1 trial=1 query=0 mode=3 ns=2565
SAMPLE dataset=external k=1 trial=1 query=0 mode=0 ns=2024
SAMPLE dataset=external k=1 trial=1 query=0 mode=1 ns=2124
SAMPLE dataset=external k=1 trial=1 query=1 mode=3 ns=1442
SAMPLE dataset=external k=1 trial=1 query=1 mode=0 ns=2164
SAMPLE dataset=external k=1 trial=1 query=1 mode=1 ns=1974
SAMPLE dataset=external k=1 trial=1 query=1 mode=2 ns=1704
SAMPLE dataset=external k=1 trial=1 query=2 mode=0 ns=1873
SAMPLE dataset=external k=1 trial=1 query=2 mode=1 ns=1793
SAMPLE dataset=external k=1 trial=1 query=2 mode=2 ns=962
SAMPLE dataset=external k=1 trial=1 query=2 mode=3 ns=831
SAMPLE dataset=external k=1 trial=1 query=3 mode=1 ns=1984
SAMPLE dataset=external k=1 trial=1 query=3 mode=2 ns=2986
SAMPLE dataset=external k=1 trial=1 query=3 mode=3 ns=2525
SAMPLE dataset=external k=1 trial=1 query=3 mode=0 ns=2204
SAMPLE dataset=external k=1 trial=1 query=4 mode=2 ns=2074
SAMPLE dataset=external k=1 trial=1 query=4 mode=3 ns=1724
SAMPLE dataset=external k=1 trial=1 query=4 mode=0 ns=2144
SAMPLE dataset=external k=1 trial=1 query=4 mode=1 ns=1833
SAMPLE dataset=external k=1 trial=1 query=5 mode=3 ns=1282
SAMPLE dataset=external k=1 trial=1 query=5 mode=0 ns=2114
SAMPLE dataset=external k=1 trial=1 query=5 mode=1 ns=2004
SAMPLE dataset=external k=1 trial=1 query=5 mode=2 ns=1583
SAMPLE dataset=external k=1 trial=1 query=6 mode=0 ns=1923
SAMPLE dataset=external k=1 trial=1 query=6 mode=1 ns=1793
SAMPLE dataset=external k=1 trial=1 query=6 mode=2 ns=3065
SAMPLE dataset=external k=1 trial=1 query=6 mode=3 ns=2505
SAMPLE dataset=external k=1 trial=1 query=7 mode=1 ns=2023
SAMPLE dataset=external k=1 trial=1 query=7 mode=2 ns=2696
SAMPLE dataset=external k=1 trial=1 query=7 mode=3 ns=2364
SAMPLE dataset=external k=1 trial=1 query=7 mode=0 ns=2204
SAMPLE dataset=external k=1 trial=1 query=8 mode=2 ns=1964
SAMPLE dataset=external k=1 trial=1 query=8 mode=3 ns=1693
SAMPLE dataset=external k=1 trial=1 query=8 mode=0 ns=2064
SAMPLE dataset=external k=1 trial=1 query=8 mode=1 ns=1864
