GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
backend=count_ones(popcnt=false,avx2=false) arch=x86_64 semantic_accuracy=NOT_MEASURED
DATASET name=uniform orbs=131072 bytes=16777216 crc64=5d462f3b0091b439
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=2 ns=2275853
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=3 ns=2003530
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=0 ns=1803023
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=1 ns=1842608
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=3 ns=1730898
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=0 ns=2468456
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=1 ns=2254223
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=2 ns=2152862
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=0 ns=2476220
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=1 ns=2269371
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=2 ns=1291270
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=3 ns=1282293
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=1 ns=1789067
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=2 ns=2292895
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=3 ns=1924231
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=0 ns=1781833
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=2 ns=1139484
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=3 ns=1162989
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=0 ns=1785300
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=1 ns=1786593
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=3 ns=1469064
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=0 ns=1786102
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=1 ns=1786443
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=2 ns=1680653
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=0 ns=1793144
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=1 ns=1799367
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=2 ns=2325216
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=3 ns=1968385
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=1 ns=1785480
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=2 ns=1710590
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=3 ns=1470377
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=0 ns=1806470
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=2 ns=1070645
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=3 ns=953344
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=0 ns=1791442
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=1 ns=1823722
SAMPLE dataset=uniform k=1 trial=1 query=9 mode=3 ns=1920074
SAMPLE dataset=uniform k=1 trial=1 query=9 mode=0 ns=1799386
