GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
backend=count_ones(popcnt=false,avx2=false) arch=x86_64 semantic_accuracy=NOT_MEASURED
DATASET name=external orbs=628 bytes=80384 crc64=ba6f576ef2d0ee32
SAMPLE dataset=external k=1 trial=1 query=0 mode=2 ns=7023
SAMPLE dataset=external k=1 trial=1 query=0 mode=3 ns=6072
SAMPLE dataset=external k=1 trial=1 query=0 mode=0 ns=5501
SAMPLE dataset=external k=1 trial=1 query=0 mode=1 ns=5540
SAMPLE dataset=external k=1 trial=1 query=1 mode=3 ns=1984
SAMPLE dataset=external k=1 trial=1 query=1 mode=0 ns=5450
SAMPLE dataset=external k=1 trial=1 query=1 mode=1 ns=5440
SAMPLE dataset=external k=1 trial=1 query=1 mode=2 ns=2365
SAMPLE dataset=external k=1 trial=1 query=2 mode=0 ns=5441
SAMPLE dataset=external k=1 trial=1 query=2 mode=1 ns=5480
SAMPLE dataset=external k=1 trial=1 query=2 mode=2 ns=4148
SAMPLE dataset=external k=1 trial=1 query=2 mode=3 ns=3596
SAMPLE dataset=external k=1 trial=1 query=3 mode=1 ns=5550
SAMPLE dataset=external k=1 trial=1 query=3 mode=2 ns=6953
SAMPLE dataset=external k=1 trial=1 query=3 mode=3 ns=6051
SAMPLE dataset=external k=1 trial=1 query=3 mode=0 ns=5501
SAMPLE dataset=external k=1 trial=1 query=4 mode=2 ns=2775
SAMPLE dataset=external k=1 trial=1 query=4 mode=3 ns=2384
SAMPLE dataset=external k=1 trial=1 query=4 mode=0 ns=5450
SAMPLE dataset=external k=1 trial=1 query=4 mode=1 ns=5470
SAMPLE dataset=external k=1 trial=1 query=5 mode=3 ns=3827
SAMPLE dataset=external k=1 trial=1 query=5 mode=0 ns=5430
SAMPLE dataset=external k=1 trial=1 query=5 mode=1 ns=5440
SAMPLE dataset=external k=1 trial=1 query=5 mode=2 ns=4519
SAMPLE dataset=external k=1 trial=1 query=6 mode=0 ns=5430
SAMPLE dataset=external k=1 trial=1 query=6 mode=1 ns=5461
SAMPLE dataset=external k=1 trial=1 query=6 mode=2 ns=6933
SAMPLE dataset=external k=1 trial=1 query=6 mode=3 ns=5901
SAMPLE dataset=external k=1 trial=1 query=7 mode=1 ns=5340
SAMPLE dataset=external k=1 trial=1 query=7 mode=2 ns=3045
SAMPLE dataset=external k=1 trial=1 query=7 mode=3 ns=2584
SAMPLE dataset=external k=1 trial=1 query=7 mode=0 ns=5381
SAMPLE dataset=external k=1 trial=1 query=8 mode=2 ns=5200
SAMPLE dataset=external k=1 trial=1 query=8 mode=3 ns=4589
SAMPLE dataset=external k=1 trial=1 query=8 mode=0 ns=5681
SAMPLE dataset=external k=1 trial=1 query=8 mode=1 ns=5651
SAMPLE dataset=external k=1 trial=1 query=9 mode=3 ns=5901
SAMPLE dataset=external k=1 trial=1 query=9 mode=0 ns=5420
SAMPLE dataset=external k=1 trial=1 query=9 mode=1 ns=5410
SAMPLE dataset=external k=1 trial=1 query=9 mode=2 ns=6993
SAMPLE dataset=external k=1 trial=1 query=10 mode=0 ns=5400
SAMPLE dataset=external k=1 trial=1 query=10 mode=1 ns=5470
SAMPLE dataset=external k=1 trial=1 query=10 mode=2 ns=3717
SAMPLE dataset=external k=1 trial=1 query=10 mode=3 ns=2955
RESULT dataset=external k=1 trial=1 samples=11 old_full_ns=5441 new_full_ns=5470 old_progressive_ns=4519 new_progressive_ns=3827 full_speedup=0.994698 progressive_speedup=1.180820 exact=52/52 stages=PASS
SAMPLE dataset=external k=1 trial=2 query=0 mode=3 ns=5851
SAMPLE dataset=external k=1 trial=2 query=0 mode=0 ns=5440
SAMPLE dataset=external k=1 trial=2 query=0 mode=1 ns=5440
SAMPLE dataset=external k=1 trial=2 query=0 mode=2 ns=6903
SAMPLE dataset=external k=1 trial=2 query=1 mode=0 ns=5390
SAMPLE dataset=external k=1 trial=2 query=1 mode=1 ns=5440
SAMPLE dataset=external k=1 trial=2 query=1 mode=2 ns=2455
SAMPLE dataset=external k=1 trial=2 query=1 mode=3 ns=2154
SAMPLE dataset=external k=1 trial=2 query=2 mode=1 ns=5551
SAMPLE dataset=external k=1 trial=2 query=2 mode=2 ns=4328
SAMPLE dataset=external k=1 trial=2 query=2 mode=3 ns=3737
SAMPLE dataset=external k=1 trial=2 query=2 mode=0 ns=5570
SAMPLE dataset=external k=1 trial=2 query=3 mode=2 ns=6933
SAMPLE dataset=external k=1 trial=2 query=3 mode=3 ns=5941
SAMPLE dataset=external k=1 trial=2 query=3 mode=0 ns=5460
SAMPLE dataset=external k=1 trial=2 query=3 mode=1 ns=5460
SAMPLE dataset=external k=1 trial=2 query=4 mode=3 ns=2455
SAMPLE dataset=external k=1 trial=2 query=4 mode=0 ns=5460
SAMPLE dataset=external k=1 trial=2 query=4 mode=1 ns=5490
SAMPLE dataset=external k=1 trial=2 query=4 mode=2 ns=2935
SAMPLE dataset=external k=1 trial=2 query=5 mode=0 ns=5501
SAMPLE dataset=external k=1 trial=2 query=5 mode=1 ns=5480
SAMPLE dataset=external k=1 trial=2 query=5 mode=2 ns=4628
SAMPLE dataset=external k=1 trial=2 query=5 mode=3 ns=7364
SAMPLE dataset=external k=1 trial=2 query=6 mode=1 ns=5391
SAMPLE dataset=external k=1 trial=2 query=6 mode=2 ns=6923
SAMPLE dataset=external k=1 trial=2 query=6 mode=3 ns=5891
SAMPLE dataset=external k=1 trial=2 query=6 mode=0 ns=5460
SAMPLE dataset=external k=1 trial=2 query=7 mode=2 ns=3977
SAMPLE dataset=external k=1 trial=2 query=7 mode=3 ns=3606
SAMPLE dataset=external k=1 trial=2 query=7 mode=0 ns=5400
SAMPLE dataset=external k=1 trial=2 query=7 mode=1 ns=5430
SAMPLE dataset=external k=1 trial=2 query=8 mode=3 ns=4339
SAMPLE dataset=external k=1 trial=2 query=8 mode=0 ns=5470
SAMPLE dataset=external k=1 trial=2 query=8 mode=1 ns=5490
SAMPLE dataset=external k=1 trial=2 query=8 mode=2 ns=5030
SAMPLE dataset=external k=1 trial=2 query=9 mode=0 ns=5400
SAMPLE dataset=external k=1 trial=2 query=9 mode=1 ns=5380
SAMPLE dataset=external k=1 trial=2 query=9 mode=2 ns=6923
SAMPLE dataset=external k=1 trial=2 query=9 mode=3 ns=5831
SAMPLE dataset=external k=1 trial=2 query=10 mode=1 ns=5430
SAMPLE dataset=external k=1 trial=2 query=10 mode=2 ns=3567
SAMPLE dataset=external k=1 trial=2 query=10 mode=3 ns=3026
SAMPLE dataset=external k=1 trial=2 query=10 mode=0 ns=5400
RESULT dataset=external k=1 trial=2 samples=11 old_full_ns=5460 new_full_ns=5440 old_progressive_ns=4628 new_progressive_ns=4339 full_speedup=1.003676 progressive_speedup=1.066605 exact=52/52 stages=PASS
SAMPLE dataset=external k=1 trial=3 query=0 mode=0 ns=5420
SAMPLE dataset=external k=1 trial=3 query=0 mode=1 ns=5430
SAMPLE dataset=external k=1 trial=3 query=0 mode=2 ns=6913
SAMPLE dataset=external k=1 trial=3 query=0 mode=3 ns=5871
SAMPLE dataset=external k=1 trial=3 query=1 mode=1 ns=5500
SAMPLE dataset=external k=1 trial=3 query=1 mode=2 ns=2695
SAMPLE dataset=external k=1 trial=3 query=1 mode=3 ns=2264
SAMPLE dataset=external k=1 trial=3 query=1 mode=0 ns=5490
SAMPLE dataset=external k=1 trial=3 query=2 mode=2 ns=4378
SAMPLE dataset=external k=1 trial=3 query=2 mode=3 ns=3807
SAMPLE dataset=external k=1 trial=3 query=2 mode=0 ns=5460
SAMPLE dataset=external k=1 trial=3 query=2 mode=1 ns=5450
SAMPLE dataset=external k=1 trial=3 query=3 mode=3 ns=5881
SAMPLE dataset=external k=1 trial=3 query=3 mode=0 ns=5441
SAMPLE dataset=external k=1 trial=3 query=3 mode=1 ns=5450
SAMPLE dataset=external k=1 trial=3 query=3 mode=2 ns=6923
SAMPLE dataset=external k=1 trial=3 query=4 mode=0 ns=5370
SAMPLE dataset=external k=1 trial=3 query=4 mode=1 ns=5390
SAMPLE dataset=external k=1 trial=3 query=4 mode=2 ns=3456
SAMPLE dataset=external k=1 trial=3 query=4 mode=3 ns=2986
SAMPLE dataset=external k=1 trial=3 query=5 mode=1 ns=5480
SAMPLE dataset=external k=1 trial=3 query=5 mode=2 ns=4899
SAMPLE dataset=external k=1 trial=3 query=5 mode=3 ns=4218
SAMPLE dataset=external k=1 trial=3 query=5 mode=0 ns=5471
SAMPLE dataset=external k=1 trial=3 query=6 mode=2 ns=6883
SAMPLE dataset=external k=1 trial=3 query=6 mode=3 ns=5861
SAMPLE dataset=external k=1 trial=3 query=6 mode=0 ns=5420
SAMPLE dataset=external k=1 trial=3 query=6 mode=1 ns=5411
SAMPLE dataset=external k=1 trial=3 query=7 mode=3 ns=2986
SAMPLE dataset=external k=1 trial=3 query=7 mode=0 ns=5550
SAMPLE dataset=external k=1 trial=3 query=7 mode=1 ns=5590
SAMPLE dataset=external k=1 trial=3 query=7 mode=2 ns=3507
SAMPLE dataset=external k=1 trial=3 query=8 mode=0 ns=5370
SAMPLE dataset=external k=1 trial=3 query=8 mode=1 ns=5400
SAMPLE dataset=external k=1 trial=3 query=8 mode=2 ns=5090
SAMPLE dataset=external k=1 trial=3 query=8 mode=3 ns=4358
SAMPLE dataset=external k=1 trial=3 query=9 mode=1 ns=5400
SAMPLE dataset=external k=1 trial=3 query=9 mode=2 ns=6843
SAMPLE dataset=external k=1 trial=3 query=9 mode=3 ns=5801
SAMPLE dataset=external k=1 trial=3 query=9 mode=0 ns=5390
SAMPLE dataset=external k=1 trial=3 query=10 mode=2 ns=3727
SAMPLE dataset=external k=1 trial=3 query=10 mode=3 ns=3166
SAMPLE dataset=external k=1 trial=3 query=10 mode=0 ns=5400
SAMPLE dataset=external k=1 trial=3 query=10 mode=1 ns=5410
RESULT dataset=external k=1 trial=3 samples=11 old_full_ns=5420 new_full_ns=5430 old_progressive_ns=4899 new_progressive_ns=4218 full_speedup=0.998158 progressive_speedup=1.161451 exact=52/52 stages=PASS
SAMPLE dataset=external k=8 trial=1 query=0 mode=2 ns=9127
SAMPLE dataset=external k=8 trial=1 query=0 mode=3 ns=7604
SAMPLE dataset=external k=8 trial=1 query=0 mode=0 ns=7815
SAMPLE dataset=external k=8 trial=1 query=0 mode=1 ns=7174
SAMPLE dataset=external k=8 trial=1 query=1 mode=3 ns=7073
SAMPLE dataset=external k=8 trial=1 query=1 mode=0 ns=7825
SAMPLE dataset=external k=8 trial=1 query=1 mode=1 ns=6793
SAMPLE dataset=external k=8 trial=1 query=1 mode=2 ns=8837
SAMPLE dataset=external k=8 trial=1 query=2 mode=0 ns=7685
SAMPLE dataset=external k=8 trial=1 query=2 mode=1 ns=6422
SAMPLE dataset=external k=8 trial=1 query=2 mode=2 ns=8636
SAMPLE dataset=external k=8 trial=1 query=2 mode=3 ns=6873
SAMPLE dataset=external k=8 trial=1 query=3 mode=1 ns=6613
SAMPLE dataset=external k=8 trial=1 query=3 mode=2 ns=8666
SAMPLE dataset=external k=8 trial=1 query=3 mode=3 ns=7104
SAMPLE dataset=external k=8 trial=1 query=3 mode=0 ns=7705
SAMPLE dataset=external k=8 trial=1 query=4 mode=2 ns=8596
SAMPLE dataset=external k=8 trial=1 query=4 mode=3 ns=6803
SAMPLE dataset=external k=8 trial=1 query=4 mode=0 ns=7705
SAMPLE dataset=external k=8 trial=1 query=4 mode=1 ns=6402
SAMPLE dataset=external k=8 trial=1 query=5 mode=3 ns=6943
SAMPLE dataset=external k=8 trial=1 query=5 mode=0 ns=7624
SAMPLE dataset=external k=8 trial=1 query=5 mode=1 ns=6553
SAMPLE dataset=external k=8 trial=1 query=5 mode=2 ns=8626
SAMPLE dataset=external k=8 trial=1 query=6 mode=0 ns=7654
