GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
backend=count_ones(popcnt=true,avx2=true) arch=x86_64 semantic_accuracy=NOT_MEASURED
DATASET name=external orbs=628 bytes=80384 crc64=ba6f576ef2d0ee32
SAMPLE dataset=external k=1 trial=1 query=0 mode=2 ns=3657
SAMPLE dataset=external k=1 trial=1 query=0 mode=3 ns=3236
SAMPLE dataset=external k=1 trial=1 query=0 mode=0 ns=2495
SAMPLE dataset=external k=1 trial=1 query=0 mode=1 ns=2285
SAMPLE dataset=external k=1 trial=1 query=1 mode=3 ns=1092
SAMPLE dataset=external k=1 trial=1 query=1 mode=0 ns=2375
SAMPLE dataset=external k=1 trial=1 query=1 mode=1 ns=2234
SAMPLE dataset=external k=1 trial=1 query=1 mode=2 ns=1493
SAMPLE dataset=external k=1 trial=1 query=2 mode=0 ns=2375
SAMPLE dataset=external k=1 trial=1 query=2 mode=1 ns=2214
SAMPLE dataset=external k=1 trial=1 query=2 mode=2 ns=2254
SAMPLE dataset=external k=1 trial=1 query=2 mode=3 ns=1874
SAMPLE dataset=external k=1 trial=1 query=3 mode=1 ns=2264
SAMPLE dataset=external k=1 trial=1 query=3 mode=2 ns=3627
SAMPLE dataset=external k=1 trial=1 query=3 mode=3 ns=3116
SAMPLE dataset=external k=1 trial=1 query=3 mode=0 ns=2434
SAMPLE dataset=external k=1 trial=1 query=4 mode=2 ns=1503
SAMPLE dataset=external k=1 trial=1 query=4 mode=3 ns=1303
SAMPLE dataset=external k=1 trial=1 query=4 mode=0 ns=2404
SAMPLE dataset=external k=1 trial=1 query=4 mode=1 ns=2295
SAMPLE dataset=external k=1 trial=1 query=5 mode=3 ns=1994
SAMPLE dataset=external k=1 trial=1 query=5 mode=0 ns=2354
SAMPLE dataset=external k=1 trial=1 query=5 mode=1 ns=2214
SAMPLE dataset=external k=1 trial=1 query=5 mode=2 ns=2345
SAMPLE dataset=external k=1 trial=1 query=6 mode=0 ns=2375
SAMPLE dataset=external k=1 trial=1 query=6 mode=1 ns=2254
SAMPLE dataset=external k=1 trial=1 query=6 mode=2 ns=3597
SAMPLE dataset=external k=1 trial=1 query=6 mode=3 ns=3095
SAMPLE dataset=external k=1 trial=1 query=7 mode=1 ns=2134
SAMPLE dataset=external k=1 trial=1 query=7 mode=2 ns=1593
SAMPLE dataset=external k=1 trial=1 query=7 mode=3 ns=1322
SAMPLE dataset=external k=1 trial=1 query=7 mode=0 ns=2304
SAMPLE dataset=external k=1 trial=1 query=8 mode=2 ns=2935
SAMPLE dataset=external k=1 trial=1 query=8 mode=3 ns=2524
