GEL_TOPK_COMPARE_V1 baseline=04a4d21 warmup=2 samples=11 trials=3 order=rotating modes=old_full,new_full,old_progressive,new_progressive
backend=count_ones(popcnt=true,avx2=true) arch=x86_64 semantic_accuracy=NOT_MEASURED
DATASET name=uniform orbs=131072 bytes=16777216 crc64=5d462f3b0091b439
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=2 ns=1202683
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=3 ns=1022875
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=0 ns=751665
SAMPLE dataset=uniform k=1 trial=1 query=0 mode=1 ns=643761
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=3 ns=897489
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=0 ns=770880
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=1 ns=650965
SAMPLE dataset=uniform k=1 trial=1 query=1 mode=2 ns=994561
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=0 ns=746885
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=1 ns=641196
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=2 ns=861201
SAMPLE dataset=uniform k=1 trial=1 query=2 mode=3 ns=751805
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=1 ns=430992
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=2 ns=645916
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=3 ns=550035
SAMPLE dataset=uniform k=1 trial=1 query=3 mode=0 ns=453934
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=2 ns=532673
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=3 ns=622843
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=0 ns=495543
SAMPLE dataset=uniform k=1 trial=1 query=4 mode=1 ns=475325
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=3 ns=549564
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=0 ns=504991
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=1 ns=446320
SAMPLE dataset=uniform k=1 trial=1 query=5 mode=2 ns=629364
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=0 ns=450017
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=1 ns=425871
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=2 ns=647058
SAMPLE dataset=uniform k=1 trial=1 query=6 mode=3 ns=553753
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=1 ns=435610
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=2 ns=596903
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=3 ns=557669
SAMPLE dataset=uniform k=1 trial=1 query=7 mode=0 ns=455628
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=2 ns=658098
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=3 ns=681062
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=0 ns=472659
SAMPLE dataset=uniform k=1 trial=1 query=8 mode=1 ns=434568
